Borough,Month,Year,Cars_And_Taxis,Buses_and_Coaches,Motorbikes,HGVs,LGVs,no2
Enfield,9,2018,280.27777777777777,7.305555555555555,2.888888888888889,2.3333333333333335,41.861111111111114,22.49506163722223
Enfield,9,2019,1271.7,48.85,26.916666666666668,72.33333333333333,322.03333333333336,24.672156835833334
Enfield,9,2020,4263.375,20.708333333333332,79.08333333333333,372.875,1209.25,19.228921331249996
Enfield,9,2021,1105.2083333333333,25.541666666666668,29.208333333333332,31.125,203.41666666666666,21.513532045874996
Enfield,10,2018,1008.2333333333333,20.383333333333333,19.85,94.31666666666666,280.73333333333335,39.62084248850002
Enfield,10,2019,1732.25,18.020833333333332,29.5,160.02083333333334,441.6041666666667,25.73019306541666
Enfield,10,2020,345.3888888888889,9.916666666666666,7.5,8.88888888888889,49.361111111111114,25.541001731111102
Enfield,10,2021,2514.1458333333335,21.875,27.854166666666668,527.75,374.7708333333333,25.12536551500001
Greenwich,3,2018,19.416666666666668,0.0,0.5,0.16666666666666666,3.5,28.675683279999998
Greenwich,3,2019,18.666666666666668,0.0,0.75,0.0,2.6666666666666665,24.988622264166665
Greenwich,4,2018,693.7916666666666,29.208333333333332,16.333333333333332,26.166666666666668,191.08333333333334,41.78199537958335
Greenwich,4,2019,569.6666666666666,49.583333333333336,11.666666666666666,10.333333333333334,113.25,58.064374554166655
Greenwich,4,2020,884.2083333333334,88.45833333333333,25.708333333333332,109.41666666666667,238.66666666666666,21.808060352499997
Greenwich,4,2021,1669.7,28.366666666666667,37.13333333333333,169.63333333333333,397.43333333333334,22.05243375433333
Greenwich,5,2018,416.4166666666667,14.69047619047619,7.523809523809524,13.916666666666666,82.4047619047619,26.828783855071432
Greenwich,5,2019,421.0,30.88888888888889,10.73611111111111,10.208333333333334,66.22222222222223,24.075617756041666
Greenwich,5,2020,902.375,3.3333333333333335,23.625,107.95833333333333,329.625,18.55161182147917
Greenwich,5,2021,375.5,18.066666666666666,8.25,24.333333333333332,69.73333333333333,16.57001249081667
Greenwich,6,2018,329.1547619047619,20.238095238095237,8.107142857142858,10.69047619047619,62.55952380952381,25.20071347672619
Greenwich,6,2019,878.7083333333334,21.552083333333332,24.447916666666668,62.145833333333336,204.83333333333334,19.45784942842709
Greenwich,6,2020,1035.2340425531916,7.127659574468085,30.170212765957448,89.53191489361703,284.8936170212766,29.12128820734042
Greenwich,6,2021,1212.85,23.4625,54.1,136.5125,386.85,14.051690208824997
Greenwich,7,2018,1230.4166666666667,11.944444444444445,65.86111111111111,96.0,350.3333333333333,22.890825135888882
Greenwich,7,2019,1180.0833333333333,27.366666666666667,53.0,82.23333333333333,329.03333333333336,20.629695135933332
Greenwich,7,2020,314.125,11.666666666666666,7.416666666666667,7.291666666666667,61.458333333333336,8.803014665874999
Greenwich,7,2021,532.0416666666666,13.958333333333334,23.416666666666668,16.583333333333332,124.58333333333333,13.820965928208333
Greenwich,9,2018,986.5833333333334,50.69444444444444,37.19444444444444,39.388888888888886,273.8888888888889,27.51525264916667
Greenwich,9,2019,333.3333333333333,9.944444444444445,4.416666666666667,3.0277777777777777,54.72222222222222,18.33383524472222
Greenwich,9,2020,1013.375,19.791666666666668,36.833333333333336,49.208333333333336,225.375,17.707418346666667
Greenwich,9,2021,742.8333333333334,37.333333333333336,17.166666666666668,13.416666666666666,107.25,21.30760504
Greenwich,10,2018,1329.6041666666667,27.791666666666668,50.4375,109.79166666666667,338.4166666666667,30.26504417020833
Greenwich,10,2019,1920.2916666666667,24.333333333333332,47.666666666666664,173.75,563.5,20.586341647375004
Greenwich,10,2020,3586.875,12.75,89.75,448.125,1155.5,16.715798331000002
Hackney,3,2018,30.583333333333332,0.3333333333333333,1.25,1.0,10.916666666666666,83.96228302583333
Hackney,3,2019,304.1166666666667,60.25,21.416666666666668,13.5,91.86666666666666,60.442982096
Hackney,4,2018,624.1666666666666,76.04166666666667,60.958333333333336,36.458333333333336,209.0,60.79930000958334
Hackney,4,2019,1037.3333333333333,125.75,55.416666666666664,46.666666666666664,353.25,41.654965885
Hackney,4,2020,1092.3684210526317,24.42105263157895,34.1578947368421,88.3157894736842,340.6842105263158,25.203562621578946
Hackney,5,2018,456.05555555555554,30.97222222222222,28.0,13.527777777777779,129.91666666666666,43.05976178888889
Hackney,5,2019,238.08333333333334,0.4583333333333333,12.166666666666666,5.166666666666667,81.95833333333333,57.66851696875
Hackney,5,2020,1208.3333333333333,39.083333333333336,56.583333333333336,80.91666666666667,396.3333333333333,33.655671579166665
Hackney,5,2021,920.9444444444445,55.361111111111114,98.77777777777777,71.88888888888889,270.72222222222223,35.42786828722222
Hackney,6,2018,679.3055555555555,56.111111111111114,61.166666666666664,42.30555555555556,226.27777777777777,42.199567537499995
Hackney,6,2019,48.083333333333336,0.8333333333333334,3.5833333333333335,1.25,13.083333333333334,52.919057125833326
Hackney,6,2020,1110.6666666666667,27.666666666666668,32.583333333333336,126.0,281.5833333333333,30.001863255000004
Hackney,6,2021,252.63888888888889,28.555555555555557,48.80555555555556,21.13888888888889,94.86111111111111,27.687700857777777
Hackney,7,2018,472.125,34.541666666666664,61.75,31.583333333333332,219.04166666666666,48.472168238333325
Hackney,7,2019,511.5,98.91666666666667,62.833333333333336,54.25,211.41666666666666,32.7335948025
Hackney,7,2020,623.3055555555555,29.305555555555557,39.97222222222222,30.666666666666668,164.44444444444446,27.97462653888889
Hackney,7,2021,1672.5833333333333,46.833333333333336,97.16666666666667,88.41666666666667,525.5,25.760715341666664
Hackney,9,2018,566.2395833333334,47.166666666666664,48.5,27.635416666666668,186.44791666666666,45.46117509947916
Hackney,9,2019,221.83333333333334,10.666666666666666,21.375,10.166666666666666,65.16666666666667,52.05518593416667
Hackney,9,2020,326.7916666666667,6.916666666666667,30.583333333333332,15.166666666666666,84.83333333333333,45.623311234583326
Hackney,9,2021,406.8333333333333,13.166666666666666,51.0,19.333333333333332,111.75,50.949961441999996
